Domain, Image, Entropy
1, 663, 0.5610226392745972
1, 664, 0.5243651866912842
1, 665, 0.8482213020324707
1, 666, 0.5929144620895386
1, 667, 0.790288507938385
1, 668, 0.509909987449646
1, 669, 1.7204718589782715
1, 670, 1.0653586387634277
1, 671, 1.6126738786697388
1, 672, 0.8722299933433533
1, 673, 2.852187156677246
1, 674, 3.042117118835449
1, 675, 2.582179069519043
1, 676, 2.9555020332336426
1, 677, 0.4943755865097046
1, 678, 0.509909987449646
1, 679, 0.5985606908798218
1, 680, 0.4497286379337311
1, 681, 0.5235651135444641
1, 682, 0.6115047335624695
1, 683, 0.9766420125961304
1, 684, 0.6200730204582214
1, 685, 2.8954575061798096
1, 686, 2.764662981033325
1, 687, 0.3869326114654541
1, 688, 0.7798939943313599
1, 689, 0.39713776111602783
1, 690, 0.6251362562179565
1, 691, 0.5805492401123047
1, 692, 0.790288507938385
1, 693, 0.29253077507019043
1, 694, 0.40745681524276733
1, 695, 0.677091121673584
1, 696, 0.36075350642204285
1, 697, 3.2251672744750977
1, 698, 0.4406583905220032
1, 699, 3.187793493270874
1, 700, 1.5655016899108887
1, 701, 2.8366825580596924
1, 702, 1.9935250282287598
1, 703, 2.103666305541992
1, 704, 2.0771336555480957
1, 705, 3.3844590187072754
1, 706, 1.9213531017303467
1, 707, 1.9606449604034424
1, 708, 2.747352123260498
1, 709, 2.010991096496582
1, 710, 2.714519500732422
1, 711, 2.2826826572418213
1, 712, 2.7943363189697266
1, 713, 2.158886432647705
1, 714, 2.962834119796753
1, 715, 1.773508071899414
1, 716, 1.9399433135986328
1, 717, 2.139537811279297
1, 718, 1.9765686988830566
1, 719, 1.4260096549987793
1, 720, 2.635092258453369
1, 721, 1.753410816192627
1, 722, 2.1375107765197754
1, 723, 2.3789546489715576
1, 724, 2.065028667449951
1, 725, 2.289186716079712
1, 726, 1.9773235321044922
1, 727, 3.2674505710601807
1, 728, 2.409398317337036
1, 729, 1.3007853031158447
1, 730, 1.7686408758163452
1, 731, 3.5117807388305664
1, 732, 1.519603967666626
1, 733, 2.205286979675293
1, 734, 1.7272329330444336
1, 735, 2.4921159744262695
1, 736, 1.1652843952178955
1, 737, 2.2285542488098145
1, 738, 2.5149688720703125
